"渠道","上游/线路","模型","入参","限制与说明"
"RavenHash图片","图片线路","gpt-image-2","model; prompt; size; n; quality; response_format; history_disabled; stream; reference_images","单次1-8张；参考图单张最大50MB；quality为auto/low/medium/high；支持1K/2K/4K及常用比例；有参考图时走/images/edits"
"RavenHash图片","图片线路","gpt-image-2.5-sunburst","model; prompt; size; n; quality; response_format; history_disabled; stream; reference_images","已成功生成3840x2160并使用2张参考图；2026-09-12实测携带quality=high、response_format=b64_json、history_disabled=true、stream=false生成成功；接收参数不代表每项都已验证生效"
"Midjourney","MJ线路","mj_imagine","prompt; reference_images; ar; version; raw; stylize; chaos; weird; quality; image_weight; style_reference; style_weight; omni_reference; omni_weight; profile; seed; tile; draft; repeat; speed; visibility; negative_prompt","每次返回四宫格；单节点请求并发固定1；Stylize 0-1000；Chaos 0-100；Weird 0-3000；Seed 0-4294967295；Repeat 1-4"
"RavenHash视频","SD2.5线路一（推荐）","sd2.5-route1","model; prompt; duration=30; aspect_ratio; reference_images","固定30秒、720p；最多9张参考图；支持人脸，通过率约90%；比例支持adaptive/16:9/9:16/1:1/4:3/3:4"
"RavenHash视频","SD2.5线路二","sd2.5","model; prompt; duration=30; aspect_ratio; reference_images","2026-09-12用户确认：线路二固定30秒、720p、最多9张参考图；4-30秒仅属于独立的seedance_v2.5模型"
"RavenHash视频","可调SD2.5兼容模型","seedance_v2.5","model; prompt; seconds; ratio; resolution; image_urls","4-30秒整数；当前常用720p；最多10张参考图；比例支持adaptive/16:9/9:16/1:1/4:3/3:4"
"RavenHash视频","SD2.0；933满血版","seedance-2.0 / doubao-seedance-2-0 / artsdance2-0系列","model; prompt; resolution; ratio/aspect_ratio; duration; camera_fixed; generate_audio; web_search; watermark; reference_images; reference_videos; reference_audios","采用933满血版入参；没有内容审核限制；支持人脸和NSFW；技术参数范围仍以上游接口实际返回为准"
"RavenHash视频","MiniMax H3兼容线路","minimax-h3","model; prompt; resolution; duration; aspect_ratio; first_image; last_image; reference_images; reference_videos; reference_audios","提示词必填且最多5000字；4-15秒；480p/768p/1080p/2K/4K；最多9图、3视频、3音频；adaptive按首张图匹配比例"
"MiniMax视频","H3按秒线路","minimax-h3","model; prompt; seconds; workflow_id; size; aspect_ratio; images; reference_videos; reference_audios","4-15秒；480p/768p/1080p/2K/4K；最多9图、3视频、3音频；自动选择文生视频、首尾帧或多参考工作流"
"MiniMax视频","H3原生任务中心","MiniMax-H3-c1","model; prompt; resolution=720p; duration; aspect_ratio; reference_images; reference_audios","当前固定发送720p；支持参考图片和音频；不支持参考视频"
"文字模型","OpenAI兼容线路","gpt-5.6-terra / gpt-5.5","model; messages; tools; stream","当前没有维护模型专属上下文窗口和最大输出Token限制表"
"文字模型","Anthropic线路","claude-opus-5","model; messages; tools; stream","当前没有维护模型专属上下文窗口和最大输出Token限制表"
"RavenHash视频","主播 HM 933","seedance_v2.0-933","model; prompt; seconds; ratio; resolution; image_urls; video_urls; audio_urls","2026-09-12核对video.zhubo.asia模型目录及统一视频API文档：720p、4-15秒、9图/3视频/3音频；固定按次计费；RavenHash售价CNY6.5/次"
"RavenHash视频","主播 HM 101010","seedance_v2.5-101010","model; prompt; seconds; ratio; resolution; image_urls; video_urls; audio_urls","2026-09-12核对video.zhubo.asia模型目录及统一视频API文档：720p、4-30秒、10图/10视频/10音频；固定按次计费；RavenHash售价CNY7/次"
"RavenHash视频","主播 HM 301010","seedance_v2.5-301010","model; prompt; seconds; ratio; resolution; image_urls; video_urls; audio_urls","2026-09-12核对video.zhubo.asia模型目录及统一视频API文档：720p、4-30秒、30图/10视频/10音频；固定按次计费；RavenHash售价CNY10/次；成本不是售价"
